week_end_date,Region,copies_per_day_per_person,population_covered,n_sites
2022-05-22,Wellington,28664134,485579,11
2022-05-22,West Coast,5148627,18900,4
2022-05-29,Auckland,12152716,1403510,14
2022-05-29,Bay of Plenty,11096253,222120,9
2022-05-29,Canterbury,13891469,497100,11
2022-05-29,Gisborne,4068894,37000,1
2022-05-29,Hawke's Bay,12042070,147539,8
2022-05-29,Manawatu-Whanganui,13413380,169822,7
2022-05-29,Marlborough,20322089,36000,2
2022-05-29,Nelson,5253682,86000,2
2022-05-29,Northland,3091606,79030,7
2022-05-29,Otago,6139955,193400,8
2022-05-29,Southland,6892777,60000,3
2022-05-29,Taranaki,12485161,116756,9
2022-05-29,Tasman,2490506,8300,1
2022-05-29,Waikato,9198445,243300,7
2022-05-29,Wellington,17770362,485579,11
2022-05-29,West Coast,2436658,18900,4
2022-06-05,Auckland,3754470,1403510,14
2022-06-05,Bay of Plenty,6428374,225920,10
2022-06-05,Canterbury,14432462,469100,10
2022-06-05,Gisborne,2410868,37000,1
2022-06-05,Hawke's Bay,6643629,147856,9
2022-06-05,Manawatu-Whanganui,3514479,169849,7
2022-06-05,Marlborough,12505389,36000,2
2022-06-05,Nelson,3835229,86000,2
2022-06-05,Northland,5064492,79030,7
2022-06-05,Otago,5981462,193400,8
2022-06-05,Southland,3991825,60000,3
2022-06-05,Taranaki,6937900,116756,9
2022-06-05,Tasman,21645888,8300,1
2022-06-05,Waikato,4200518,243300,7
2022-06-05,Wellington,10850876,485579,11
2022-06-05,West Coast,2798488,16000,3
2022-06-12,Auckland,6120615,1403510,14
2022-06-12,Bay of Plenty,4180518,225920,10
2022-06-12,Canterbury,9707859,497100,11
2022-06-12,Gisborne,1155068,37000,1
2022-06-12,Hawke's Bay,10711610,147856,9
2022-06-12,Manawatu-Whanganui,6090201,171479,8
2022-06-12,Marlborough,13543460,36000,2
2022-06-12,Nelson,8812021,26000,1
2022-06-12,Northland,3616974,79030,7
2022-06-12,Otago,7341502,193400,8
2022-06-12,Southland,6522992,60000,3
2022-06-12,Taranaki,5077888,116756,9
2022-06-12,Tasman,6660033,8300,1
2022-06-12,Waikato,2444294,243300,7
2022-06-12,Wellington,6766572,485579,11
2022-06-12,West Coast,464340,18900,4
2022-06-19,Auckland,4579901,1449310,16
2022-06-19,Bay of Plenty,5317586,214920,8
2022-06-19,Canterbury,9885073,497100,11
2022-06-19,Gisborne,488186,37000,1
2022-06-19,Hawke's Bay,7571375,147856,9
2022-06-19,Manawatu-Whanganui,4517505,171479,8
2022-06-19,Marlborough,3190919,31000,1
2022-06-19,Nelson,7261077,86000,2
2022-06-19,Northland,1126944,79030,7
2022-06-19,Otago,5431697,193400,8
2022-06-19,Southland,4313812,60000,3
2022-06-19,Taranaki,3987199,116756,9
2022-06-19,Waikato,1963521,243300,7
2022-06-19,Wellington,7897273,485579,11
2022-06-19,West Coast,2700127,18900,4
2022-06-26,Auckland,7081531,1393480,11
2022-06-26,Bay of Plenty,4359353,225920,10
2022-06-26,Canterbury,11853112,497100,11
2022-06-26,Gisborne,1586860,37000,1
2022-06-26,Hawke's Bay,7881412,147856,9
2022-06-26,Manawatu-Whanganui,6583665,171479,8
2022-06-26,Marlborough,2519324,36000,2
2022-06-26,Nelson,8067071,86000,2
2022-06-26,Northland,1711954,79030,7
2022-06-26,Otago,7620394,193400,8
2022-06-26,Southland,8315626,60000,3
2022-06-26,Taranaki,4177228,106856,8
2022-06-26,Tasman,10345520,8300,1
2022-06-26,Waikato,1970731,243300,7
2022-06-26,Wellington,11563513,485579,11
2022-06-26,West Coast,1757076,18900,4
2022-07-03,Auckland,9864453,1403510,14
2022-07-03,Bay of Plenty,9113877,205820,6
2022-07-03,Canterbury,16776511,497100,11
2022-07-03,Gisborne,8456428,37000,1
2022-07-03,Hawke's Bay,21651818,147856,9
2022-07-03,Manawatu-Whanganui,6363883,171479,8
2022-07-03,Marlborough,8135128,36000,2
2022-07-03,Nelson,8726073,86000,2
2022-07-03,Northland,4279587,79030,7
2022-07-03,Otago,9289436,205400,9
2022-07-03,Southland,6202785,60000,3
2022-07-03,Taranaki,12597642,106856,8
2022-07-03,Tasman,13964727,8300,1
2022-07-03,Waikato,4421845,243300,7
2022-07-03,Wellington,14836225,485579,11
2022-07-03,West Coast,20793676,18900,4
2022-07-10,Auckland,19159257,1403510,14
2022-07-10,Bay of Plenty,30107567,225920,10
2022-07-10,Canterbury,28760721,497100,11
2022-07-10,Gisborne,12651250,37000,1
2022-07-10,Hawke's Bay,64270875,147856,9
2022-07-10,Manawatu-Whanganui,25946389,171479,8
2022-07-10,Marlborough,17425867,36000,2
2022-07-10,Nelson,23349718,86000,2
2022-07-10,Northland,13410876,79030,7
2022-07-10,Otago,34361735,205400,9
2022-07-10,Southland,17414146,60000,3
2022-07-10,Taranaki,47679553,106856,8
2022-07-10,Tasman,35742152,8300,1
2022-07-10,Waikato,8939530,243300,7
2022-07-10,Wellington,39768430,485579,11
2022-07-10,West Coast,4997692,18900,4
2022-07-17,Auckland,12351391,1393480,11
2022-07-17,Bay of Plenty,9727897,225920,10
2022-07-17,Canterbury,14074660,497100,11
2022-07-17,Gisborne,16949407,37000,1
2022-07-17,Hawke's Bay,19085200,147856,9
2022-07-17,Manawatu-Whanganui,6451667,171479,8
2022-07-17,Marlborough,7995580,36000,2
2022-07-17,Nelson,9300738,26000,1
2022-07-17,Northland,5467633,79030,7
2022-07-17,Otago,17272208,193400,8
2022-07-17,Southland,3483623,60000,3
2022-07-17,Taranaki,8639092,106856,8
2022-07-17,Tasman,8775096,8300,1
2022-07-17,Waikato,4299535,243300,7
2022-07-17,Wellington,25428423,485579,11
2022-07-17,West Coast,1262661,16000,3
2022-07-24,Auckland,10491832,332180,11
2022-07-24,Bay of Plenty,12343266,225920,10
2022-07-24,Canterbury,28352735,497100,11
2022-07-24,Gisborne,12217392,37000,1
2022-07-24,Hawke's Bay,18200174,147856,9
2022-07-24,Manawatu-Whanganui,10465367,171479,8
2022-07-24,Marlborough,13926067,36000,2
2022-07-24,Nelson,6145800,86000,2
2022-07-24,Northland,4593913,79030,7
2022-07-24,Otago,13256209,178900,7
2022-07-24,Southland,9291636,60000,3
2022-07-24,Taranaki,7622275,106856,8
2022-07-24,Tasman,15580942,8300,1
2022-07-24,Waikato,4321628,243300,7
2022-07-24,Wellington,14914285,485579,11
2022-07-24,West Coast,2451740,18900,4
2022-07-31,Auckland,14290390,1395610,13
2022-07-31,Bay of Plenty,13698267,225920,10
2022-07-31,Canterbury,13952329,494700,10
2022-07-31,Gisborne,4580825,37000,1
2022-07-31,Hawke's Bay,15238520,147856,9
2022-07-31,Manawatu-Whanganui,9120854,171479,8
2022-07-31,Marlborough,9764176,36000,2
2022-07-31,Nelson,12374063,26000,1
2022-07-31,Northland,5018293,79030,7
2022-07-31,Otago,9078300,193400,8
2022-07-31,Southland,17192668,60000,3
2022-07-31,Taranaki,9876150,106856,8
2022-07-31,Tasman,11989903,8300,1
2022-07-31,Waikato,9690683,243300,7
2022-07-31,Wellington,12859666,485579,11
2022-07-31,West Coast,6090301,18900,4
2022-08-07,Auckland,8453021,1403510,14
2022-08-07,Bay of Plenty,12483518,225920,10
2022-08-07,Canterbury,11067003,490800,9
2022-08-07,Gisborne,4871210,37000,1
2022-08-07,Hawke's Bay,13771879,143456,8
2022-08-07,Manawatu-Whanganui,9409126,171479,8
2022-08-07,Marlborough,6789085,36000,2
2022-08-07,Nelson,4165617,86000,2
2022-08-07,Northland,10052574,79030,7
2022-08-07,Otago,7196394,193400,8
2022-08-07,Southland,20074452,60000,3
2022-08-07,Taranaki,6733579,106856,8
2022-08-07,Tasman,1578180,8300,1
2022-08-07,Waikato,5818585,243300,7
2022-08-07,Wellington,11656305,485579,11
2022-08-07,West Coast,30397230,18900,4
2022-08-14,Auckland,6929238,1372580,10
2022-08-14,Bay of Plenty,9497083,225920,10
2022-08-14,Canterbury,6066791,493800,9
2022-08-14,Gisborne,6848610,37000,1
2022-08-14,Hawke's Bay,9090760,147856,9
2022-08-14,Manawatu-Whanganui,7171249,171479,8
2022-08-14,Marlborough,6546347,36000,2
2022-08-14,Nelson,7774018,86000,2
2022-08-14,Northland,6932739,74030,6
2022-08-14,Otago,5793238,205400,9
2022-08-14,Southland,15540787,60000,3
2022-08-14,Taranaki,6628271,106856,8
2022-08-14,Tasman,9361650,8300,1
2022-08-14,Waikato,4823755,243300,7
2022-08-14,Wellington,4351304,485579,11
2022-08-14,West Coast,2083567,13900,3
2022-08-21,Auckland,6427716,1393480,11
2022-08-21,Bay of Plenty,8741835,216820,8
2022-08-21,Canterbury,7635151,494700,10
2022-08-21,Gisborne,2267522,37000,1
2022-08-21,Hawke's Bay,7794961,147856,9
2022-08-21,Manawatu-Whanganui,5061967,171479,8
2022-08-21,Marlborough,5133563,31000,1
2022-08-21,Nelson,6849516,86000,2
2022-08-21,Northland,3920271,79030,7
2022-08-21,Otago,4967528,193400,8
2022-08-21,Southland,11381482,60000,3
2022-08-21,Taranaki,5174962,106856,8
2022-08-21,Waikato,8305808,243300,7
2022-08-21,Wellington,6707795,485579,11
2022-08-21,West Coast,845942,11000,2
2022-08-28,Auckland,4841482,1393480,11
2022-08-28,Bay of Plenty,4383849,225920,10
2022-08-28,Canterbury,4960984,494700,10
2022-08-28,Gisborne,6739290,37000,1
2022-08-28,Hawke's Bay,3623308,147856,9
2022-08-28,Manawatu-Whanganui,2493748,171479,8
2022-08-28,Nelson,1575009,26000,1
2022-08-28,Northland,734113,74030,6
2022-08-28,Otago,3687494,193400,8
2022-08-28,Southland,3105247,60000,3
2022-08-28,Taranaki,4886697,106856,8
2022-08-28,Tasman,12300950,8300,1
2022-08-28,Waikato,3562699,243300,7
2022-08-28,Wellington,2200457,485579,11
2022-08-28,West Coast,515061,11000,2
2022-09-04,Auckland,8427888,324280,10
2022-09-04,Bay of Plenty,2538672,225920,10
2022-09-04,Canterbury,3958097,492000,8
2022-09-04,Gisborne,724136,37000,1
2022-09-04,Hawke's Bay,2381956,147856,9
2022-09-04,Manawatu-Whanganui,2937546,171479,8
2022-09-04,Marlborough,2710976,36000,2
2022-09-04,Nelson,2239089,86000,2
2022-09-04,Northland,3487460,79030,7
2022-09-04,Otago,1840626,178900,7
2022-09-04,Southland,3331741,60000,3
2022-09-04,Taranaki,3100009,106856,8
2022-09-04,Waikato,1283421,243300,7
2022-09-04,Wellington,2623306,485579,11
2022-09-04,West Coast,554691,13900,3
2022-09-11,Auckland,3535674,1393480,11
2022-09-11,Bay of Plenty,4415460,225920,10
2022-09-11,Canterbury,3662459,492000,8
2022-09-11,Gisborne,2046492,37000,1
2022-09-11,Hawke's Bay,938944,147856,9
2022-09-11,Manawatu-Whanganui,2443565,171479,8
2022-09-11,Marlborough,464498,36000,2
2022-09-11,Nelson,1689089,86000,2
2022-09-11,Northland,3686803,79030,7
2022-09-11,Otago,2367958,205400,9
2022-09-11,Southland,6962549,60000,3
2022-09-11,Taranaki,1821285,106856,8
2022-09-11,Tasman,3410592,8300,1
2022-09-11,Waikato,716103,243300,7
2022-09-11,Wellington,2923125,485579,11
2022-09-11,West Coast,33636,11000,2
2022-09-18,Auckland,4221188,1372580,10
2022-09-18,Bay of Plenty,2464772,216820,8
2022-09-18,Canterbury,3292668,492000,8
2022-09-18,Gisborne,3156168,37000,1
2022-09-18,Hawke's Bay,1984811,147856,9
2022-09-18,Manawatu-Whanganui,2343470,171479,8
2022-09-18,Marlborough,1521083,36000,2
2022-09-18,Nelson,3105909,86000,2
2022-09-18,Northland,3468603,74530,6
2022-09-18,Otago,2635922,193400,8
2022-09-18,Southland,1021052,60000,3
2022-09-18,Taranaki,1476645,106856,8
2022-09-18,Tasman,404581,8300,1
2022-09-18,Waikato,3709282,243300,7
2022-09-18,Wellington,3484524,485579,11
2022-09-18,West Coast,298834,11000,2
2022-09-25,Auckland,2776335,1418380,12
2022-09-25,Bay of Plenty,4612122,225920,10
2022-09-25,Canterbury,2427106,492000,8
2022-09-25,Gisborne,2846816,37000,1
2022-09-25,Hawke's Bay,2823653,147856,9
2022-09-25,Manawatu-Whanganui,4510688,159700,4
2022-09-25,Marlborough,2457338,36000,2
2022-09-25,Nelson,2545822,86000,2
2022-09-25,Northland,1187128,79030,7
2022-09-25,Otago,2049980,193400,8
2022-09-25,Southland,1414693,60000,3
2022-09-25,Taranaki,1483345,106856,8
2022-09-25,Tasman,1548846,8300,1
2022-09-25,Waikato,1325602,243300,7
2022-09-25,Wellington,3060818,485579,11
2022-09-25,West Coast,70000,11000,2
2022-10-02,Auckland,3142991,1445380,14
2022-10-02,Bay of Plenty,4033361,225920,10
2022-10-02,Canterbury,4160905,492000,8
2022-10-02,Gisborne,720680,37000,1
2022-10-02,Hawke's Bay,1036285,139400,3
2022-10-02,Manawatu-Whanganui,3248252,171479,8
2022-10-02,Marlborough,3227484,36000,2
2022-10-02,Nelson,3962732,26000,1
2022-10-02,Northland,6433711,7800,4
2022-10-02,Otago,2219400,193400,8
2022-10-02,Southland,2936437,60000,3
2022-10-02,Taranaki,1567180,102006,3
2022-10-02,Tasman,1563686,8300,1
2022-10-02,Waikato,5084512,243300,7
2022-10-02,Wellington,4446709,485579,11
2022-10-02,West Coast,197555,11000,2
2022-10-09,Auckland,3509706,1444460,12
2022-10-09,Bay of Plenty,4943860,211120,7
2022-10-09,Canterbury,3320143,492000,8
2022-10-09,Gisborne,574186,37000,1
2022-10-09,Hawke's Bay,1606796,147856,9
2022-10-09,Manawatu-Whanganui,3337534,171479,8
2022-10-09,Marlborough,3329517,36000,2
2022-10-09,Nelson,5453328,26000,1
2022-10-09,Northland,1915255,79030,7
2022-10-09,Otago,2973560,201300,8
2022-10-09,Southland,893828,60000,3
2022-10-09,Taranaki,2366982,102006,3
2022-10-09,Waikato,1308932,243300,7
2022-10-09,Wellington,6192311,485579,11
2022-10-09,West Coast,2090137,13900,3
2022-10-16,Auckland,4457366,1398660,10
2022-10-16,Bay of Plenty,8919573,216820,8
2022-10-16,Canterbury,6045292,492000,8
2022-10-16,Gisborne,3945678,37000,1
2022-10-16,Hawke's Bay,4233606,147433,7
2022-10-16,Manawatu-Whanganui,3523738,167053,6
2022-10-16,Marlborough,2701714,36000,2
2022-10-16,Nelson,4308867,86000,2
2022-10-16,Northland,607745,79030,7
2022-10-16,Otago,2393426,193400,8
2022-10-16,Southland,799306,60000,3
2022-10-16,Taranaki,3277905,102006,3
2022-10-16,Waikato,1962864,243300,7
2022-10-16,Wellington,12827330,485579,11
2022-10-16,West Coast,1026302,11000,2
2022-10-23,Auckland,5077192,1390760,9
2022-10-23,Bay of Plenty,3672128,216820,8
2022-10-23,Canterbury,2863313,492000,8
2022-10-23,Gisborne,2971576,37000,1
2022-10-23,Hawke's Bay,3063673,147856,9
2022-10-23,Manawatu-Whanganui,3865208,167053,6
2022-10-23,Marlborough,1323166,36000,2
2022-10-23,Nelson,3397402,26000,1
2022-10-23,Northland,3064956,79030,7
2022-10-23,Otago,2939983,193400,8
2022-10-23,Southland,4859308,60000,3
2022-10-23,Taranaki,4534740,102006,3
2022-10-23,Waikato,1821574,243300,7
2022-10-23,Wellington,12280071,485579,11
2022-10-23,West Coast,128629,11000,2
2022-10-30,Auckland,4032001,1436560,11
2022-10-30,Bay of Plenty,3656234,225920,10
2022-10-30,Canterbury,6144801,464000,7
2022-10-30,Gisborne,7462346,37000,1
2022-10-30,Hawke's Bay,7861970,144010,4
2022-10-30,Manawatu-Whanganui,10756732,167053,6
2022-10-30,Marlborough,2814434,36000,2
2022-10-30,Nelson,4856238,86000,2
2022-10-30,Northland,2144631,74030,6
2022-10-30,Otago,3557934,193400,8
2022-10-30,Southland,6354591,60000,3
2022-10-30,Taranaki,4131550,102006,3
2022-10-30,Waikato,1944677,243300,7
2022-10-30,Wellington,12160616,485579,11
2022-10-30,West Coast,1465764,11000,2
2022-11-06,Auckland,1976155,1395560,11
2022-11-06,Bay of Plenty,2747273,225920,10
2022-11-06,Canterbury,5825515,492000,8
2022-11-06,Gisborne,2732752,37000,1
2022-11-06,Hawke's Bay,3577435,144010,4
2022-11-06,Manawatu-Whanganui,9729000,167053,6
2022-11-06,Marlborough,1089140,36000,2
2022-11-06,Nelson,4008657,86000,2
2022-11-06,Northland,987221,72300,5
2022-11-06,Otago,6568293,193400,8
2022-11-06,Southland,7138232,60000,3
2022-11-06,Taranaki,3377147,102006,3
2022-11-06,Waikato,2864156,223200,6
2022-11-06,Wellington,7887837,485579,11
2022-11-06,West Coast,845948,11000,2
2022-11-13,Auckland,5114027,1390760,9
2022-11-13,Bay of Plenty,4945747,216820,8
2022-11-13,Canterbury,4336906,492000,8
2022-11-13,Gisborne,2834107,37000,1
2022-11-13,Hawke's Bay,5132393,144010,4
2022-11-13,Manawatu-Whanganui,6131218,167053,6
2022-11-13,Marlborough,1035033,36000,2
2022-11-13,Nelson,1993173,86000,2
2022-11-13,Northland,3109593,74030,6
2022-11-13,Otago,3445617,205400,9
2022-11-13,Southland,2842922,60000,3
2022-11-13,Taranaki,3641041,102006,3
2022-11-13,Tasman,156019,8300,1
2022-11-13,Waikato,1295366,243300,7
2022-11-13,Wellington,7516097,485579,11
2022-11-13,West Coast,580851,11000,2
2022-11-20,Auckland,2409507,1394560,10
2022-11-20,Bay of Plenty,4198915,216820,8
2022-11-20,Canterbury,3754309,492000,8
2022-11-20,Gisborne,1182701,37000,1
2022-11-20,Hawke's Bay,3021000,144010,4
2022-11-20,Manawatu-Whanganui,3325079,167053,6
2022-11-20,Marlborough,3039639,36000,2
2022-11-20,Nelson,1801059,86000,2
2022-11-20,Northland,1381034,74030,6
2022-11-20,Otago,3381835,193400,8
2022-11-20,Southland,23660089,60000,3
2022-11-20,Taranaki,2778801,102006,3
2022-11-20,Tasman,350832,8300,1
2022-11-20,Waikato,2073215,243300,7
2022-11-20,Wellington,3555672,485579,11
2022-11-20,West Coast,1567075,16000,3
2022-11-27,Auckland,2823654,1436560,11
2022-11-27,Bay of Plenty,5517740,216820,8
2022-11-27,Canterbury,2101276,492000,8
2022-11-27,Gisborne,8437956,37000,1
2022-11-27,Hawke's Bay,9297323,144010,4
2022-11-27,Manawatu-Whanganui,3445707,167053,6
2022-11-27,Marlborough,2351129,36000,2
2022-11-27,Nelson,2227367,86000,2
2022-11-27,Northland,4972480,79030,7
2022-11-27,Otago,3537346,193400,8
2022-11-27,Southland,1379333,60000,3
2022-11-27,Taranaki,2096590,102006,3
2022-11-27,Waikato,1724411,243300,7
2022-11-27,Wellington,4480016,485579,11
2022-11-27,West Coast,223768,16000,3
2022-12-04,Auckland,7851644,1436560,11
2022-12-04,Bay of Plenty,8035689,216820,8
2022-12-04,Canterbury,4240539,492000,8
2022-12-04,Gisborne,2822541,37000,1
2022-12-04,Hawke's Bay,7640810,144010,4
2022-12-04,Manawatu-Whanganui,5473681,167053,6
2022-12-04,Marlborough,3780301,36000,2
2022-12-04,Nelson,6168022,86000,2
2022-12-04,Northland,2930884,77300,6
2022-12-04,Otago,5999999,193400,8
2022-12-04,Southland,3570828,60000,3
2022-12-04,Taranaki,4725294,102006,3
2022-12-04,Waikato,1135689,243300,7
2022-12-04,Wellington,4404898,485579,11
2022-12-04,West Coast,121676,16000,3
2022-12-11,Auckland,11879067,1390760,9
2022-12-11,Bay of Plenty,11017602,216820,8
2022-12-11,Canterbury,11252451,492000,8
2022-12-11,Gisborne,8125222,37000,1
2022-12-11,Hawke's Bay,18265023,135000,2
2022-12-11,Manawatu-Whanganui,5428111,167053,6
2022-12-11,Marlborough,17073183,36000,2
2022-12-11,Nelson,4239010,86000,2
2022-12-11,Northland,6251995,79030,7
2022-12-11,Otago,7421210,205400,9
2022-12-11,Southland,7796484,60000,3
2022-12-11,Taranaki,3968924,102006,3
2022-12-11,Waikato,2835748,243300,7
2022-12-11,Wellington,12930014,485579,11
2022-12-11,West Coast,1146952,16000,3
2022-12-18,Auckland,13693526,1436560,11
2022-12-18,Bay of Plenty,17790126,225920,10
2022-12-18,Canterbury,9597637,492000,8
2022-12-18,Gisborne,9912356,37000,1
2022-12-18,Hawke's Bay,13229993,139610,3
2022-12-18,Manawatu-Whanganui,9084335,69700,3
2022-12-18,Marlborough,8506837,36000,2
2022-12-18,Nelson,6354029,86000,2
2022-12-18,Northland,4068588,74030,6
2022-12-18,Otago,6500938,193400,8
2022-12-18,Southland,39011965,60000,3
2022-12-18,Taranaki,14869875,102006,3
2022-12-18,Waikato,11800729,243300,7
2022-12-18,Wellington,20447413,485579,11
2022-12-18,West Coast,400000,1000,1
2022-12-25,Auckland,10438126,1436560,11
2022-12-25,Bay of Plenty,7296612,209820,7
2022-12-25,Canterbury,5685698,492000,8
2022-12-25,Gisborne,3190316,37000,1
2022-12-25,Hawke's Bay,8711504,139610,3
2022-12-25,Manawatu-Whanganui,5539627,69700,3
2022-12-25,Marlborough,4498369,31000,1
2022-12-25,Nelson,16824064,26000,1
2022-12-25,Northland,4049193,74030,6
2022-12-25,Otago,5838985,189300,7
2022-12-25,Southland,12429517,60000,3
2022-12-25,Taranaki,5957372,102006,3
2022-12-25,Waikato,2127299,210100,5
2022-12-25,Wellington,9674036,485579,11
2022-12-25,West Coast,3265538,16000,3
2023-01-01,Auckland,8423604,1355000,4
2023-01-01,Canterbury,10769216,368000,1
2023-01-08,Auckland,5077552,1355000,4
2023-01-08,Canterbury,5936533,368000,1
2023-01-15,Auckland,1848110,1435960,10
2023-01-15,Bay of Plenty,2909922,205820,6
2023-01-15,Canterbury,4001259,474000,7
2023-01-15,Gisborne,3643645,37000,1
2023-01-15,Hawke's Bay,2547768,139610,3
2023-01-15,Manawatu-Whanganui,1650240,77053,5
2023-01-15,Marlborough,3678542,31000,1
2023-01-15,Nelson,5547010,26000,1
2023-01-15,Northland,672788,79030,7
2023-01-15,Otago,4403148,189300,7
2023-01-15,Southland,4165476,60000,3
2023-01-15,Taranaki,3392413,102006,3
2023-01-15,Waikato,1065994,223200,6
2023-01-15,Wellington,3825357,485579,11
2023-01-15,West Coast,1567776,16000,3
2023-01-22,Auckland,1513638,1435960,10
2023-01-22,Bay of Plenty,5387876,214920,8
2023-01-22,Canterbury,2277749,492000,8
2023-01-22,Gisborne,2313921,37000,1
2023-01-22,Hawke's Bay,5442747,139610,3
2023-01-22,Manawatu-Whanganui,4944755,167053,6
2023-01-22,Marlborough,1167774,36000,2
2023-01-22,Nelson,1840348,86000,2
2023-01-22,Northland,1996905,79030,7
2023-01-22,Otago,1095420,205400,9
2023-01-22,Southland,1527283,60000,3
2023-01-22,Taranaki,3131252,102006,3
2023-01-22,Waikato,1123322,243300,7
2023-01-22,Wellington,4200633,485579,11
2023-01-22,West Coast,4818347,16000,3
2023-01-29,Auckland,1848503,1435960,10
2023-01-29,Bay of Plenty,1598174,225920,10
2023-01-29,Canterbury,2205499,492000,8
2023-01-29,Gisborne,1328922,37000,1
2023-01-29,Hawke's Bay,6202905,139610,3
2023-01-29,Manawatu-Whanganui,2365339,167053,6
2023-01-29,Marlborough,1246611,36000,2
2023-01-29,Nelson,1461097,86000,2
2023-01-29,Northland,1322656,79030,7
2023-01-29,Otago,676022,193400,8
2023-01-29,Southland,1350012,60000,3
2023-01-29,Taranaki,3877350,14006,2
2023-01-29,Waikato,923203,243300,7
2023-01-29,Wellington,2766819,485579,11
2023-01-29,West Coast,412514,16000,3
2023-02-05,Auckland,312342,1320460,10
2023-02-05,Bay of Plenty,2149582,198820,5
2023-02-05,Canterbury,1338879,492000,8
2023-02-05,Gisborne,1127846,37000,1
2023-02-05,Hawke's Bay,423228,139610,3
2023-02-05,Manawatu-Whanganui,1479369,167053,6
2023-02-05,Marlborough,732518,36000,2
2023-02-05,Nelson,2129197,26000,1
2023-02-05,Northland,689546,72300,5
2023-02-05,Otago,771611,189300,7
2023-02-05,Southland,2491697,60000,3
2023-02-05,Taranaki,2379650,102006,3
2023-02-05,Waikato,237077,225200,4
2023-02-05,Wellington,3306963,485579,11
2023-02-05,West Coast,109852,16000,3
2023-02-12,Auckland,1306442,1273960,8
2023-02-12,Bay of Plenty,2601889,225920,10
2023-02-12,Canterbury,3292442,471900,6
2023-02-12,Gisborne,160799,37000,1
2023-02-12,Hawke's Bay,6198137,139610,3
2023-02-12,Manawatu-Whanganui,1758248,167053,6
2023-02-12,Marlborough,881311,36000,2
2023-02-12,Nelson,3578504,86000,2
2023-02-12,Northland,1009706,74030,6
2023-02-12,Otago,1261089,189300,7
2023-02-12,Southland,72905,60000,3
2023-02-12,Taranaki,1462475,102006,3
2023-02-12,Waikato,894269,232700,5
2023-02-12,Wellington,1522191,485579,11
2023-02-12,West Coast,988400,16000,3
2023-02-19,Auckland,511616,1288160,7
2023-02-19,Bay of Plenty,2098854,222120,9
2023-02-19,Canterbury,1706632,474000,7
2023-02-19,Gisborne,3845519,37000,1
2023-02-19,Hawke's Bay,1557789,135000,2
2023-02-19,Manawatu-Whanganui,945754,167053,6
2023-02-19,Marlborough,3268788,36000,2
2023-02-19,Nelson,1456218,86000,2
2023-02-19,Otago,1647919,205400,9
2023-02-19,Southland,2588883,60000,3
2023-02-19,Taranaki,2671212,102006,3
2023-02-19,Waikato,1005042,225200,4
2023-02-19,Wellington,2142978,485579,11
2023-02-19,West Coast,504250,16000,3
2023-02-26,Auckland,1528173,1291660,8
2023-02-26,Bay of Plenty,2433647,204900,9
2023-02-26,Canterbury,3146342,492000,8
2023-02-26,Manawatu-Whanganui,2096421,167053,6
2023-02-26,Marlborough,9782950,36000,2
2023-02-26,Nelson,3343068,26000,1
2023-02-26,Northland,1193871,76230,4
2023-02-26,Otago,3008138,189300,7
2023-02-26,Southland,2765870,60000,3
2023-02-26,Taranaki,1577557,102006,3
2023-02-26,Waikato,1101781,225200,4
2023-02-26,Wellington,2292551,485579,11
2023-02-26,West Coast,356788,16000,3
2023-03-05,Auckland,2209365,980660,8
2023-03-05,Bay of Plenty,2671315,214920,8
2023-03-05,Canterbury,3948728,464000,7
2023-03-05,Hawke's Bay,1078739,84610,2
2023-03-05,Manawatu-Whanganui,2844279,167053,6
2023-03-05,Marlborough,4233865,36000,2
2023-03-05,Nelson,4337077,86000,2
2023-03-05,Northland,1867076,76230,4
2023-03-05,Otago,3727465,193400,8
2023-03-05,Southland,2115530,60000,3
2023-03-05,Taranaki,2443842,102006,3
2023-03-05,Waikato,999401,225200,4
2023-03-05,Wellington,2361504,485579,11
2023-03-05,West Coast,600126,16000,3
2023-03-12,Auckland,2848529,1274560,9
2023-03-12,Bay of Plenty,2785573,225920,10
2023-03-12,Canterbury,5394122,492000,8
2023-03-12,Hawke's Bay,4421131,84610,2
2023-03-12,Manawatu-Whanganui,2747662,167053,6
2023-03-12,Marlborough,4023966,36000,2
2023-03-12,Nelson,3557917,86000,2
2023-03-12,Northland,3203978,79030,7
2023-03-12,Otago,2661141,189300,7
2023-03-12,Southland,4874373,60000,3
2023-03-12,Taranaki,2052263,102006,3
2023-03-12,Waikato,920214,243300,7
2023-03-12,Wellington,3558266,485579,11
2023-03-12,West Coast,1198924,16000,3
2023-03-19,Auckland,1182341,1295660,9
2023-03-19,Bay of Plenty,2286521,193900,7
2023-03-19,Canterbury,3648579,492000,8
2023-03-19,Gisborne,1005639,37000,1
2023-03-19,Hawke's Bay,5949454,84610,2
2023-03-19,Manawatu-Whanganui,1926960,167053,6
2023-03-19,Nelson,2115315,86000,2
2023-03-19,Northland,413330,79030,7
2023-03-19,Otago,4447936,205400,9
2023-03-19,Southland,4481272,60000,3
2023-03-19,Taranaki,2251820,102006,3
2023-03-19,Waikato,708210,210100,5
2023-03-19,Wellington,2341309,485579,11
2023-03-19,West Coast,359695,16000,3
2023-03-26,Auckland,1917572,1436560,11
2023-03-26,Bay of Plenty,2356632,216820,8
