week_end_date,Region,copies_per_day_per_person,population_covered,n_sites
2023-12-24,Hawke's Bay,5722960,135000,2
2023-12-24,Manawatu-Whanganui,1901308,155700,3
2023-12-24,Marlborough,4715556,31000,1
2023-12-24,Nelson,2089079,60000,1
2023-12-24,Otago,4129093,161500,4
2023-12-24,Southland,6056920,50000,1
2023-12-24,Taranaki,1958360,100000,2
2023-12-24,Waikato,14039188,192000,2
2023-12-24,Wellington,5094543,459200,6
2023-12-24,West Coast,219143,15000,2
2023-12-31,Auckland,2268527,1115000,3
2023-12-31,Bay of Plenty,2232162,7000,1
2023-12-31,Canterbury,11395640,368000,1
2023-12-31,Manawatu-Whanganui,467851,21200,1
2023-12-31,Otago,4892023,40000,1
2023-12-31,Wellington,8016858,386000,3
2024-01-07,Auckland,8286271,1135900,4
2024-01-07,Canterbury,11023848,368000,1
2024-01-07,Manawatu-Whanganui,8250798,21200,1
2024-01-07,Otago,6105294,161500,4
2024-01-07,Wellington,7476566,386000,3
2024-01-14,Auckland,4474907,1375900,5
2024-01-14,Bay of Plenty,4293121,202020,5
2024-01-14,Canterbury,6401219,421000,3
2024-01-14,Hawke's Bay,1276173,135000,2
2024-01-14,Manawatu-Whanganui,1681405,65700,2
2024-01-14,Marlborough,3115086,31000,1
2024-01-14,Nelson,7589613,86000,2
2024-01-14,Northland,4733447,70000,2
2024-01-14,Otago,2784847,161500,4
2024-01-14,Southland,2298488,50000,1
2024-01-14,Taranaki,2711396,100000,2
2024-01-14,Waikato,656757,192000,2
2024-01-14,Wellington,6789522,459200,6
2024-01-14,West Coast,1436460,15000,2
2024-01-21,Auckland,4419431,1375900,5
2024-01-21,Bay of Plenty,4588062,202020,5
2024-01-21,Canterbury,2576164,449000,4
2024-01-21,Hawke's Bay,5686652,135000,2
2024-01-21,Manawatu-Whanganui,1836616,155700,3
2024-01-21,Nelson,3823662,26000,1
2024-01-21,Northland,1964725,70000,2
2024-01-21,Otago,2354391,161500,4
2024-01-21,Southland,1491095,50000,1
2024-01-21,Taranaki,2593353,100000,2
2024-01-21,Waikato,773129,192000,2
2024-01-21,Wellington,4494826,459200,6
2024-01-21,West Coast,2732942,15000,2
2024-01-28,Auckland,2406542,1375900,5
2024-01-28,Bay of Plenty,3425100,202020,5
2024-01-28,Canterbury,5470248,449000,4
2024-01-28,Gisborne,1545422,37000,1
2024-01-28,Hawke's Bay,5242211,135000,2
2024-01-28,Manawatu-Whanganui,1712163,155700,3
2024-01-28,Nelson,7859569,86000,2
2024-01-28,Northland,2225220,70000,2
2024-01-28,Otago,2017716,161500,4
2024-01-28,Southland,2548098,58000,2
2024-01-28,Taranaki,1425639,100000,2
2024-01-28,Waikato,1122757,192000,2
2024-01-28,Wellington,2336473,459200,6
2024-01-28,West Coast,2239724,15000,2
2024-02-04,Auckland,5742191,1375900,5
2024-02-04,Bay of Plenty,2803978,202020,5
2024-02-04,Canterbury,4275889,449000,4
2024-02-04,Gisborne,4044402,37000,1
2024-02-04,Hawke's Bay,5729006,135000,2
2024-02-04,Manawatu-Whanganui,2368160,155700,3
2024-02-04,Marlborough,11086222,31000,1
2024-02-04,Nelson,1786229,26000,1
2024-02-04,Northland,2336933,65000,1
2024-02-04,Otago,1605857,138600,3
2024-02-04,Southland,3529845,58000,2
2024-02-04,Taranaki,2915225,100000,2
2024-02-04,Tasman,5175943,8300,1
2024-02-04,Waikato,909573,192000,2
2024-02-04,Wellington,3698526,459200,6
2024-02-04,West Coast,467423,15000,2
